Public Law Title,FY,Amount,Deflator.Type,Source
Military Personnel,1948,4.301e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1948,1.75e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1948,3.858e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1948,3.695e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1948,4.61e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1948,2.53e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1948,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1948,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1948,-9.43e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1949,4.507e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1949,1.93e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1949,4.191e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1949,1.745e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1949,2.42e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1949,1.27e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1949,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1949,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1949,-5.72e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1950,4.891e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1950,1.8e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1950,4.332e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1950,3.728e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1950,6.1e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1950,3.88e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1950,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1950,1.68e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1950,-2.12e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1951,8.709e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1951,3.42e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1951,1.2116e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1951,2.2257e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1951,1.254e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1951,2.471e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1951,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1951,5.74e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1951,-1.89e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1952,1.1152e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1952,3.45e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1952,1.2948e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1952,2.9367e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1952,1.755e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1952,4.037e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1952,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1952,7.75e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1952,-1.83e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1953,1.213e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1953,3.57e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1953,1.0628e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1953,2.0766e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1953,2.233e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1953,2.336e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1953,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1953,3.6e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1953,-2.06e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1954,1.1559e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1954,3.87e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1954,1.0295e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1954,9.648e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1954,2.29e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1954,3.13e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1954,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1954,1e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1954,-2.73e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1955,1.114e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1955,4.24e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1955,8.036e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1955,6.762e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1955,2.335e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1955,8.96e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1955,7.5e+07,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1955,1.119e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1955,-3.62e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1956,1.1058e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1956,4.95e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1956,9.009e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1956,8.016e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1956,3.34e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1956,1.269e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1956,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1956,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1956,-3.96e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1957,1.1038e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1957,5.15e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1957,9.526e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1957,9.405e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1957,4.22e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1957,1.475e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1957,7.5e+07,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1957,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1957,-3.39e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1958,1.0415e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1958,5.67e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1958,1.0108e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1958,9.477e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1958,3.964e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1958,2.086e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1958,5.5e+07,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1958,7.5e+07,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1958,2.24e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1959,1.0823e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1959,6.4e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1959,1.0276e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1959,1.2709e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1959,5.278e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1959,1.384e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1959,5.7e+07,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1959,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1959,2.34e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1960,1.0881e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1960,7.15e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1960,1.0317e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1960,1.1596e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1960,5.725e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1960,1.364e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1960,3e+07,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1960,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1960,2.79e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1961,1.0989e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1961,7.9e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1961,1.0702e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1961,1.1716e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1961,6.033e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1961,1.061e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1961,3e+07,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1961,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1961,6.5e+07,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1962,1.179e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1962,9.2e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1962,1.1503e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1962,1.5746e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1962,6.402e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1962,7.87e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1962,4.4e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1962,3.25e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1962,1.01e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1963,1.1713e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1963,1.026e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1963,1.1496e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1963,1.6647e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1963,6.993e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1963,1.204e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1963,5.9e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1963,1e+06,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1963,-1.09e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1964,1.2655e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1964,1.228e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1964,1.1705e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1964,1.5645e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1964,6.984e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1964,9.49e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1964,6.44e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1964,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1964,-1.83e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1965,1.3257e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1965,1.399e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1965,1.2603e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1965,1.3836e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1965,6.483e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1965,1.049e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1965,6.31e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1965,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1965,-2e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1966,1.5473e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1966,1.6e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1966,1.5339e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1966,2.0013e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1966,6.746e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1966,2.566e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1966,6.66e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1966,1.383e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1966,-2.31e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1967,1.8377e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1967,1.839e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1967,1.9441e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1967,2.2871e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1967,7.172e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1967,1.098e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1967,5.07e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1967,1.014e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1967,-1.43e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1968,2.0023e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1968,2.095e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1968,2.0961e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1968,2.3408e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1968,7.285e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1968,1.543e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1968,6.12e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1968,5.16e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1968,-1.57e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1969,2.1427e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1969,2.45e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1969,2.2349e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1969,2.0543e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1969,7.629e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1969,1.168e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1969,5.12e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1969,9.61e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1969,-1.33e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1970,2.2995e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1970,2.858e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1970,2.1529e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1970,1.7867e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1970,7.406e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1970,9.6e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1970,6.04e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1970,5e+06,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1970,-1.4e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1971,2.2643e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1971,3.391e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1971,2.0437e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1971,1.5702e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1971,7.066e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1971,1.322e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1971,7.17e+08,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1971,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1971,-1.19e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1972,2.2964e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1972,3.901e+09,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1972,2.0804e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1972,1.7777e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1972,7.519e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1972,1.287e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1972,8.6e+08,Current.Dollars,Table 6.8 DOD BA By Title
