Public Law Title,FY,Amount,Deflator.Type,Source
Procurement,1997,4.2963e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1997,3.6404e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1997,5.718e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1997,4.131e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1997,7.534e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1997,-1.436e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1998,6.9821e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1998,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1998,9.7215e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1998,4.4818e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1998,3.7089e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1998,5.466e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1998,3.828e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1998,2.591e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1998,-2.245e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1999,7.065e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1999,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1999,1.04992e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1999,5.1112e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1999,3.829e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1999,5.405e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1999,3.592e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1999,5.381e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1999,-8.27e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2000,7.3838e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2000,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2000,1.08776e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2000,5.4973e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2000,3.8706e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2000,5.106e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2000,3.543e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2000,7.314e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2000,-1.721e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2001,7.6888e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2001,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2001,1.25238e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2001,6.2607e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2001,4.1594e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2001,5.423e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2001,3.683e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2001,5.333e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2001,-1.338e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2002,8.6957e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2002,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2002,1.33851e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2002,6.274e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2002,4.8718e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2002,6.631e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2002,4.048e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2002,4.389e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2002,-1.702e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2003,1.09062e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2003,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2003,1.78316e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2003,7.849e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2003,5.8103e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2003,6.67e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2003,4.183e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2003,4.154e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2003,-1.178e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2004,1.16111e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2004,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2004,1.89763e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2004,8.3073e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2004,6.4641e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2004,6.137e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2004,3.829e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2004,7.977e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2004,-5.21e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2005,1.21279e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2005,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2005,1.79215e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2005,9.6614e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2005,6.8825e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2005,7.26e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2005,4.098e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2005,7.88e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2005,-1.259e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2006,1.28483e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2006,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2006,2.13532e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2006,1.05371e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2006,7.2855e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2006,9.53e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2006,4.426e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2006,4.754e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2006,-2.489e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2007,1.31756e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2007,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2007,2.40252e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2007,1.33772e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2007,7.7549e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2007,1.3961e+10,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2007,4.024e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2007,2.836e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2007,-1.905e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2008,1.39033e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2008,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2008,2.56223e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2008,1.65006e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2008,7.9567e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2008,2.2064e+10,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2008,2.846e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2008,1.0296e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2008,-1.549e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2009,1.4929e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2009,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2009,2.71564e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2009,1.35438e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2009,8.0005e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2009,2.6815e+10,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2009,3.848e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2009,-1.217e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2009,-1.219e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2010,1.571e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2010,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2010,2.9363e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2010,1.35817e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2010,8.0234e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2010,2.2577e+10,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2010,2.267e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2010,5.639e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2010,-1.59e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2011,1.58389e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2011,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2011,3.05235e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2011,1.31898e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2011,7.6687e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2011,1.5991e+10,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2011,1.833e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2011,2.832e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2011,-2.086e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2012,1.58352e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2012,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2012,2.86775e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2012,1.18316e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2012,7.2034e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2012,1.1367e+10,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2012,1.69e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2012,7.311e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2012,-4.56e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2013,1.53531e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2013,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2013,2.58353e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2013,9.7763e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2013,6.3347e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2013,8.068e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2013,1.489e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2013,4.482e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2013,-1.672e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2014,1.50186e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2014,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2014,2.62453e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2014,1.00405e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2014,6.3483e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2014,8.392e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2014,1.417e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2014,1.129e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2014,-1.886e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2015,1.45859e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2015,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2015,2.46572e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2015,1.0211e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2015,6.3869e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2015,5.652e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2015,1.14e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2015,7.478e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2015,-1.837e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2016,1.45423e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2016,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2016,2.45357e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2016,1.18944e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2016,6.9274e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2016,6.91e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2016,1.264e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2016,1.265e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2016,-1.335e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2017,1.42826e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2017,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2017,2.06806e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2017,1.02732e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2017,7.1754e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2017,6.124e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2017,1.32e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2017,1.372e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2017,-1.214e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2018,1.45438e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2018,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2018,2.19876e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2018,1.1527e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2018,7.5166e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2018,7.854e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2018,1.353e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2018,1.41e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2018,-4.08e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2019,1.47729e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2019,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2019,2.25723e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2019,1.16053e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2019,7.5046e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2019,7.08e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2019,1.538e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2019,1.42e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2019,-4.48e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2020,1.51057e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2020,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2020,2.30196e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2020,1.18619e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2020,7.1259e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2020,6.245e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2020,1.362e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2020,1.45e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2020,-6.81e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,2021,1.54531e+11,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2021,NA,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,2021,2.34446e+11,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,2021,1.2417e+11,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,2021,7.1966e+10,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,2021,7.099e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,2021,1.543e+09,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,2021,1.61e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2021,-7.86e+08,Current.Dollars,Table 6.8 DOD BA By Title
